ld[m]	ld[%]	SwfS	Cf_C	DCL	DCLalpha	DCl	df	c_prime_over_c	flap_type
-1	-1	0.74	0.1	1.11	-11.09	1.66	25	1.04	double slotted+None
-1	-1	0.75	0.1	1.12	-11.24	1.66	25	1.04	double slotted+None
-1	-1	0.76	0.1	1.14	-11.39	1.66	25	1.04	double slotted+None
-1	-1	0.77	0.1	1.15	-11.54	1.66	25	1.04	double slotted+None
-1	-1	0.78	0.1	1.17	-11.69	1.66	25	1.04	double slotted+None
-1	-1	0.79	0.1	1.18	-11.84	1.66	25	1.04	double slotted+None
-1	-1	0.8	0.1	1.2	-11.99	1.66	25	1.04	double slotted+None
-1	-1	0.81	0.1	1.21	-12.14	1.66	25	1.04	double slotted+None
-1	-1	0.82	0.1	1.23	-12.29	1.66	25	1.04	double slotted+None
-1	-1	0.83	0.1	1.24	-12.44	1.66	25	1.04	double slotted+None
-1	-1	0.84	0.1	1.26	-12.59	1.66	25	1.04	double slotted+None
-1	-1	0.85	0.1	1.27	-12.74	1.66	25	1.04	double slotted+None
-1	-1	0.86	0.1	1.29	-12.89	1.66	25	1.04	double slotted+None
-1	-1	0.87	0.1	1.3	-13.04	1.66	25	1.04	double slotted+None
-1	-1	0.88	0.1	1.32	-13.19	1.66	25	1.04	double slotted+None
-1	-1	0.89	0.1	1.33	-13.34	1.66	25	1.04	double slotted+None
-1	-1	0.63	0.37	1.05	-9.44	1.86	30	1.16	double slotted+None
-1	-1	0.64	0.33	1.05	-9.59	1.83	30	1.14	double slotted+None
-1	-1	0.65	0.29	1.05	-9.74	1.8	30	1.13	double slotted+None
-1	-1	0.66	0.25	1.05	-9.89	1.77	30	1.11	double slotted+None
-1	-1	0.67	0.21	1.05	-10.04	1.75	30	1.09	double slotted+None
-1	-1	0.68	0.17	1.05	-10.19	1.72	30	1.07	double slotted+None
-1	-1	0.69	0.14	1.05	-10.34	1.7	30	1.06	double slotted+None
-1	-1	0.7	0.1	1.05	-10.49	1.67	30	1.04	double slotted+None
-1	-1	0.71	0.1	1.07	-10.64	1.67	30	1.04	double slotted+None
-1	-1	0.72	0.1	1.08	-10.79	1.67	30	1.04	double slotted+None
-1	-1	0.73	0.1	1.1	-10.94	1.67	30	1.04	double slotted+None
-1	-1	0.74	0.1	1.11	-11.09	1.67	30	1.04	double slotted+None
-1	-1	0.75	0.1	1.13	-11.24	1.67	30	1.04	double slotted+None
-1	-1	0.76	0.1	1.14	-11.39	1.67	30	1.04	double slotted+None
-1	-1	0.77	0.1	1.16	-11.54	1.67	30	1.04	double slotted+None
-1	-1	0.78	0.1	1.17	-11.69	1.67	30	1.04	double slotted+None
-1	-1	0.79	0.1	1.19	-11.84	1.67	30	1.04	double slotted+None
-1	-1	0.8	0.1	1.2	-11.99	1.67	30	1.04	double slotted+None
-1	-1	0.81	0.1	1.22	-12.14	1.67	30	1.04	double slotted+None
-1	-1	0.82	0.1	1.23	-12.29	1.67	30	1.04	double slotted+None
-1	-1	0.83	0.1	1.25	-12.44	1.67	30	1.04	double slotted+None
-1	-1	0.84	0.1	1.26	-12.59	1.67	30	1.04	double slotted+None
-1	-1	0.85	0.1	1.28	-12.74	1.67	30	1.04	double slotted+None
-1	-1	0.86	0.1	1.29	-12.89	1.67	30	1.04	double slotted+None
-1	-1	0.87	0.1	1.31	-13.04	1.67	30	1.04	double slotted+None
-1	-1	0.88	0.1	1.32	-13.19	1.67	30	1.04	double slotted+None
-1	-1	0.89	0.1	1.34	-13.34	1.67	30	1.04	double slotted+None
-1	-1	0.62	0.37	1.05	-9.29	1.89	35	1.18	double slotted+None
-1	-1	0.63	0.33	1.05	-9.44	1.86	35	1.16	double slotted+None
-1	-1	0.64	0.29	1.05	-9.59	1.82	35	1.14	double slotted+None
-1	-1	0.65	0.26	1.05	-9.74	1.8	35	1.13	double slotted+None
-1	-1	0.66	0.22	1.05	-9.89	1.77	35	1.11	double slotted+None
-1	-1	0.67	0.19	1.05	-10.04	1.75	35	1.09	double slotted+None
-1	-1	0.68	0.16	1.05	-10.19	1.72	35	1.08	double slotted+None
-1	-1	0.69	0.12	1.05	-10.34	1.69	35	1.06	double slotted+None
-1	-1	0.7	0.1	1.06	-10.49	1.68	35	1.05	double slotted+None
-1	-1	0.71	0.1	1.07	-10.64	1.68	35	1.05	double slotted+None
-1	-1	0.72	0.1	1.09	-10.79	1.68	35	1.05	double slotted+None
-1	-1	0.73	0.1	1.1	-10.94	1.68	35	1.05	double slotted+None
-1	-1	0.74	0.1	1.12	-11.09	1.68	35	1.05	double slotted+None
-1	-1	0.75	0.1	1.13	-11.24	1.68	35	1.05	double slotted+None
-1	-1	0.76	0.1	1.15	-11.39	1.68	35	1.05	double slotted+None
-1	-1	0.77	0.1	1.16	-11.54	1.68	35	1.05	double slotted+None
-1	-1	0.78	0.1	1.18	-11.69	1.68	35	1.05	double slotted+None
-1	-1	0.79	0.1	1.19	-11.84	1.68	35	1.05	double slotted+None
-1	-1	0.8	0.1	1.21	-11.99	1.68	35	1.05	double slotted+None
-1	-1	0.81	0.1	1.22	-12.14	1.68	35	1.05	double slotted+None
-1	-1	0.82	0.1	1.24	-12.29	1.68	35	1.05	double slotted+None
-1	-1	0.83	0.1	1.25	-12.44	1.68	35	1.05	double slotted+None
-1	-1	0.84	0.1	1.27	-12.59	1.68	35	1.05	double slotted+None
-1	-1	0.85	0.1	1.28	-12.74	1.68	35	1.05	double slotted+None
-1	-1	0.86	0.1	1.3	-12.89	1.68	35	1.05	double slotted+None
-1	-1	0.87	0.1	1.31	-13.04	1.68	35	1.05	double slotted+None
-1	-1	0.88	0.1	1.33	-13.19	1.68	35	1.05	double slotted+None
-1	-1	0.89	0.1	1.34	-13.34	1.68	35	1.05	double slotted+None
-1	-1	0.61	0.37	1.05	-9.14	1.92	40	1.2	double slotted+None
-1	-1	0.62	0.34	1.05	-9.29	1.89	40	1.18	double slotted+None
-1	-1	0.63	0.3	1.05	-9.44	1.86	40	1.16	double slotted+None
-1	-1	0.64	0.27	1.05	-9.59	1.83	40	1.14	double slotted+None
-1	-1	0.65	0.24	1.05	-9.74	1.8	40	1.13	double slotted+None
-1	-1	0.66	0.2	1.05	-9.89	1.77	40	1.11	double slotted+None
-1	-1	0.67	0.17	1.05	-10.04	1.74	40	1.09	double slotted+None
-1	-1	0.68	0.14	1.05	-10.19	1.72	40	1.07	double slotted+None
-1	-1	0.69	0.11	1.05	-10.34	1.69	40	1.06	double slotted+None
-1	-1	0.7	0.1	1.06	-10.49	1.69	40	1.05	double slotted+None
-1	-1	0.71	0.1	1.08	-10.64	1.69	40	1.05	double slotted+None
-1	-1	0.72	0.1	1.09	-10.79	1.69	40	1.05	double slotted+None
-1	-1	0.73	0.1	1.11	-10.94	1.69	40	1.05	double slotted+None
-1	-1	0.74	0.1	1.12	-11.09	1.69	40	1.05	double slotted+None
-1	-1	0.75	0.1	1.14	-11.24	1.69	40	1.05	double slotted+None
-1	-1	0.76	0.1	1.15	-11.39	1.69	40	1.05	double slotted+None
-1	-1	0.77	0.1	1.17	-11.54	1.69	40	1.05	double slotted+None
-1	-1	0.78	0.1	1.18	-11.69	1.69	40	1.05	double slotted+None
-1	-1	0.79	0.1	1.2	-11.84	1.69	40	1.05	double slotted+None
-1	-1	0.8	0.1	1.21	-11.99	1.69	40	1.05	double slotted+None
-1	-1	0.81	0.1	1.23	-12.14	1.69	40	1.05	double slotted+None
-1	-1	0.82	0.1	1.24	-12.29	1.69	40	1.05	double slotted+None
-1	-1	0.83	0.1	1.26	-12.44	1.69	40	1.05	double slotted+None
-1	-1	0.84	0.1	1.27	-12.59	1.69	40	1.05	double slotted+None
-1	-1	0.85	0.1	1.29	-12.74	1.69	40	1.05	double slotted+None
-1	-1	0.86	0.1	1.3	-12.89	1.69	40	1.05	double slotted+None
-1	-1	0.87	0.1	1.32	-13.04	1.69	40	1.05	double slotted+None
-1	-1	0.88	0.1	1.33	-13.19	1.69	40	1.05	double slotted+None
-1	-1	0.89	0.1	1.35	-13.34	1.69	40	1.05	double slotted+None
-1	-1	0.88	0.39	1.05	-13.19	1.33	10	1.02	fowler+None
-1	-1	0.89	0.18	1.05	-13.34	1.31	10	1.01	fowler+None
-1	-1	0.76	0.38	1.05	-11.39	1.54	15	1.18	fowler+None
-1	-1	0.77	0.35	1.05	-11.54	1.52	15	1.17	fowler+None
-1	-1	0.78	0.32	1.05	-11.69	1.5	15	1.15	fowler+None
-1	-1	0.79	0.29	1.05	-11.84	1.48	15	1.14	fowler+None
-1	-1	0.8	0.26	1.05	-11.99	1.46	15	1.13	fowler+None
-1	-1	0.81	0.23	1.05	-12.14	1.44	15	1.11	fowler+None
-1	-1	0.82	0.2	1.05	-12.29	1.43	15	1.1	fowler+None
-1	-1	0.83	0.18	1.05	-12.44	1.41	15	1.09	fowler+None
-1	-1	0.84	0.15	1.05	-12.59	1.39	15	1.07	fowler+None
-1	-1	0.85	0.12	1.05	-12.74	1.38	15	1.06	fowler+None
-1	-1	0.86	0.1	1.05	-12.89	1.36	15	1.05	fowler+None
-1	-1	0.87	0.1	1.07	-13.04	1.36	15	1.05	fowler+None
-1	-1	0.88	0.1	1.08	-13.19	1.36	15	1.05	fowler+None
-1	-1	0.89	0.1	1.09	-13.34	1.36	15	1.05	fowler+None
-1	-1	0.75	0.39	1.05	-11.24	1.56	20	1.2	fowler+None
-1	-1	0.76	0.36	1.05	-11.39	1.54	20	1.18	fowler+None
-1	-1	0.77	0.33	1.05	-11.54	1.52	20	1.17	fowler+None
-1	-1	0.78	0.3	1.05	-11.69	1.5	20	1.15	fowler+None
-1	-1	0.79	0.27	1.05	-11.84	1.48	20	1.14	fowler+None
-1	-1	0.8	0.25	1.05	-11.99	1.47	20	1.13	fowler+None
-1	-1	0.81	0.22	1.05	-12.14	1.45	20	1.11	fowler+None
-1	-1	0.82	0.19	1.05	-12.29	1.43	20	1.1	fowler+None
-1	-1	0.83	0.17	1.05	-12.44	1.41	20	1.09	fowler+None
-1	-1	0.84	0.14	1.05	-12.59	1.39	20	1.07	fowler+None
-1	-1	0.85	0.12	1.05	-12.74	1.38	20	1.06	fowler+None
-1	-1	0.86	0.1	1.06	-12.89	1.37	20	1.05	fowler+None
-1	-1	0.87	0.1	1.07	-13.04	1.37	20	1.05	fowler+None
-1	-1	0.88	0.1	1.08	-13.19	1.37	20	1.05	fowler+None
-1	-1	0.89	0.1	1.09	-13.34	1.37	20	1.05	fowler+None
-1	-1	0.74	0.4	1.05	-11.09	1.58	25	1.21	fowler+None
-1	-1	0.75	0.37	1.05	-11.24	1.56	25	1.2	fowler+None
-1	-1	0.76	0.34	1.05	-11.39	1.54	25	1.18	fowler+None
-1	-1	0.77	0.32	1.05	-11.54	1.52	25	1.17	fowler+None
-1	-1	0.78	0.29	1.05	-11.69	1.5	25	1.16	fowler+None
-1	-1	0.79	0.26	1.05	-11.84	1.48	25	1.14	fowler+None
-1	-1	0.8	0.23	1.05	-11.99	1.46	25	1.12	fowler+None
-1	-1	0.81	0.21	1.05	-12.14	1.45	25	1.11	fowler+None
-1	-1	0.82	0.18	1.05	-12.29	1.43	25	1.1	fowler+None
-1	-1	0.83	0.16	1.05	-12.44	1.41	25	1.09	fowler+None
-1	-1	0.84	0.13	1.05	-12.59	1.39	25	1.07	fowler+None
-1	-1	0.85	0.11	1.05	-12.74	1.38	25	1.06	fowler+None
-1	-1	0.86	0.1	1.06	-12.89	1.37	25	1.05	fowler+None
-1	-1	0.87	0.1	1.07	-13.04	1.37	25	1.05	fowler+None
-1	-1	0.88	0.1	1.08	-13.19	1.37	25	1.05	fowler+None
-1	-1	0.89	0.1	1.1	-13.34	1.37	25	1.05	fowler+None
-1	-1	0.74	0.38	1.05	-11.09	1.58	30	1.21	fowler+None
-1	-1	0.75	0.36	1.05	-11.24	1.56	30	1.2	fowler+None
-1	-1	0.76	0.33	1.05	-11.39	1.54	30	1.19	fowler+None
-1	-1	0.77	0.3	1.05	-11.54	1.52	30	1.17	fowler+None
-1	-1	0.78	0.27	1.05	-11.69	1.5	30	1.15	fowler+None
-1	-1	0.79	0.25	1.05	-11.84	1.48	30	1.14	fowler+None
-1	-1	0.8	0.22	1.05	-11.99	1.46	30	1.12	fowler+None
-1	-1	0.81	0.2	1.05	-12.14	1.45	30	1.11	fowler+None
-1	-1	0.82	0.17	1.05	-12.29	1.42	30	1.1	fowler+None
-1	-1	0.83	0.15	1.05	-12.44	1.41	30	1.08	fowler+None
-1	-1	0.84	0.13	1.05	-12.59	1.4	30	1.07	fowler+None
-1	-1	0.85	0.11	1.06	-12.74	1.38	30	1.06	fowler+None
-1	-1	0.86	0.1	1.06	-12.89	1.37	30	1.06	fowler+None
-1	-1	0.87	0.1	1.07	-13.04	1.37	30	1.06	fowler+None
-1	-1	0.88	0.1	1.09	-13.19	1.37	30	1.06	fowler+None
-1	-1	0.89	0.1	1.1	-13.34	1.37	30	1.06	fowler+None
-1	-1	0.73	0.4	1.05	-10.94	1.61	35	1.24	fowler+None
-1	-1	0.74	0.37	1.05	-11.09	1.58	35	1.22	fowler+None
-1	-1	0.75	0.34	1.05	-11.24	1.56	35	1.2	fowler+None
-1	-1	0.76	0.31	1.05	-11.39	1.54	35	1.18	fowler+None
-1	-1	0.77	0.29	1.05	-11.54	1.52	35	1.17	fowler+None
-1	-1	0.78	0.26	1.05	-11.69	1.5	35	1.15	fowler+None
-1	-1	0.79	0.24	1.05	-11.84	1.48	35	1.14	fowler+None
-1	-1	0.8	0.21	1.05	-11.99	1.46	35	1.12	fowler+None
-1	-1	0.81	0.19	1.05	-12.14	1.45	35	1.11	fowler+None
-1	-1	0.82	0.17	1.05	-12.29	1.43	35	1.1	fowler+None
-1	-1	0.83	0.14	1.05	-12.44	1.41	35	1.08	fowler+None
-1	-1	0.84	0.12	1.05	-12.59	1.39	35	1.07	fowler+None
-1	-1	0.85	0.1	1.05	-12.74	1.38	35	1.06	fowler+None
-1	-1	0.86	0.1	1.06	-12.89	1.38	35	1.06	fowler+None
-1	-1	0.87	0.1	1.08	-13.04	1.38	35	1.06	fowler+None
-1	-1	0.88	0.1	1.09	-13.19	1.38	35	1.06	fowler+None
-1	-1	0.89	0.1	1.1	-13.34	1.38	35	1.06	fowler+None
-1	-1	0.73	0.38	1.05	-10.94	1.61	40	1.23	fowler+None
-1	-1	0.74	0.35	1.05	-11.09	1.58	40	1.22	fowler+None
-1	-1	0.75	0.32	1.05	-11.24	1.56	40	1.2	fowler+None
-1	-1	0.76	0.3	1.05	-11.39	1.54	40	1.19	fowler+None
-1	-1	0.77	0.27	1.05	-11.54	1.52	40	1.17	fowler+None
-1	-1	0.78	0.25	1.05	-11.69	1.5	40	1.15	fowler+None
-1	-1	0.79	0.23	1.05	-11.84	1.48	40	1.14	fowler+None
-1	-1	0.8	0.2	1.05	-11.99	1.46	40	1.12	fowler+None
-1	-1	0.81	0.18	1.05	-12.14	1.44	40	1.11	fowler+None
-1	-1	0.82	0.16	1.05	-12.29	1.43	40	1.1	fowler+None
-1	-1	0.83	0.14	1.05	-12.44	1.41	40	1.09	fowler+None
-1	-1	0.84	0.12	1.05	-12.59	1.4	40	1.07	fowler+None
-1	-1	0.85	0.1	1.05	-12.74	1.38	40	1.06	fowler+None
-1	-1	0.86	0.1	1.07	-12.89	1.38	40	1.06	fowler+None
-1	-1	0.87	0.1	1.08	-13.04	1.38	40	1.06	fowler+None
-1	-1	0.88	0.1	1.09	-13.19	1.38	40	1.06	fowler+None
-1	-1	0.89	0.1	1.1	-13.34	1.38	40	1.06	fowler+None
